movie_id,director_popularity
116711,1.725
77866,1.96
14442,0.6
16523,2.245
12279,4.63
242582,1.755
87818,2.7283333333333335
19913,3.293
680,6.853
274854,2.812
19912,0.6
10764,1.22
535845,1.604
1637,2.188
136795,1.851
300669,1.158
11324,12.473
4935,4.591
514847,0.606
10693,1.2523333333333333
34584,1.944
540901,0.98
227719,0.98
9297,0.704
10137,0.984
22794,1.871
542178,6.181
6477,1.753
8275,1.991
694,5.816
68724,2.091
652004,1.216
10112,1.03
402900,1.655
47933,2.212
252,0.6
381890,3.309
10882,1.708
49520,2.388
176,3.427
201088,4.645
23172,0.898
308531,0.6
68735,2.178
1250,1.535
350,1.4
9286,0.766
262504,0.675
6466,2.715
11395,1.267
23398,1.38
258489,3.66
49524,0.675
20829,1.453
105,3.087
146216,2.875
9279,0.898
440,1.061
101299,1.896
18360,5.383
353081,3.108
267935,12.777
10555,1.5636666666666665
449443,1.96
38408,8.312
315837,0.6
9488,4.63
98567,28.399
138832,5.44
522681,1.551
8681,1.116
241848,1.598
110415,5.124
348,13.93
256040,1.176
41733,3.138
45612,2.178
87421,1.869
15070,1.455
339964,4.218
466272,6.853
637,2.835
13700,1.0
854,0.84
9323,1.838
13596,0.828
55779,1.286
6844,1.905
27582,0.652
136400,1.96
320288,4.529
1691,3.245
82633,1.38
406563,1.551
431693,0.6
14199,4.63
423204,0.619
8961,3.812
448119,1.96
431580,0.6
280092,2.535
497,7.13
378236,0.84
14438,0.828
8373,3.812
59108,1.943
244786,1.441
49040,2.999
228161,0.84
8922,1.4
338762,0.98
23827,1.094
55301,3.067
228165,0.6
100042,2.0605
8839,1.62
530915,3.055
241259,2.183
567690,1.351
37735,0.6
399402,0.6
450465,6.354
841,6.03
13,3.087
424139,2.778
419680,0.828
282035,3.027
4348,1.914
9373,0.996
106,3.002
8392,4.591
136835,0.694
630,1.204
1369,2.765
189,4.49
127380,5.519
11351,1.4
153158,2.086
393457,20.73
278927,10.681
330459,1.435
1634,1.4
256591,3.9619999999999997
546554,2.66
111,2.853
8982,1.22
181283,1.009
36647,0.997
16577,0.94
652,1.944
310131,1.677
9792,1.746
81005,2.636
58233,0.602
91586,3.427
9880,1.632
20943,1.732
10140,1.858
9757,1.308
10066,2.293
