,name,actor_id,gender,character,actor_popularity,movie_id
180,Marisa Tomei,3141.0,1.0,May Parker,10.199,315635
181,Jon Favreau,15277.0,2.0,Harold 'Happy' Hogan,10.248,315635
182,Zendaya,505710.0,1.0,Michelle 'MJ' Jones,35.712,315635
183,Angourie Rice,1265629.0,1.0,Betty Brant,13.564,315635
184,Jennifer Connelly,6161.0,1.0,Karen (voice),17.698,315635
185,Chris Evans,16828.0,2.0,Steve Rogers / Captain America,12.794,315635
186,Mark Wahlberg,13240.0,2.0,Evan McCauley,17.694,581726
187,Dylan O'Brien,527393.0,2.0,Heinrich Treadway,12.877,581726
188,Rupert Friend,36669.0,2.0,Bathurst 1985,11.587,581726
189,Jason Statham,976.0,2.0,H,31.426,637649
190,Josh Hartnett,2299.0,2.0,Boy Sweat Dave,15.219,637649
191,Scott Eastwood,928572.0,2.0,Jan,12.393,637649
192,Andy García,1271.0,2.0,Agent King,10.762,637649
193,Ellie Kemper,475512.0,1.0,Pam McKenzie,10.921,654974
194,Ray Liotta,11477.0,2.0,"""Hollywood Dick"" Moltisanti / Salvatore “Sally” Moltisanti",10.031,524369
195,Vera Farmiga,21657.0,1.0,Livia Soprano,11.72,524369
196,Jon Bernthal,19498.0,2.0,Johnny Soprano,11.377,524369
197,Kate Siegel,932076.0,1.0,Jenn,13.915,864873
198,Stephen Lang,32747.0,2.0,The Blind Man,17.705,482373
199,Thomasin McKenzie,1356758.0,1.0,Maddox Aged 16,21.192,631843
200,Ken Leung,2131.0,2.0,Jarin,13.922,631843
201,Embeth Davidtz,6368.0,1.0,Adult Maddox,11.23,631843
202,Tobey Maguire,2219.0,2.0,Peter Parker / Spider-Man,14.076,557
203,Willem Dafoe,5293.0,2.0,Norman Osborn / Green Goblin,16.354,557
204,Kirsten Dunst,205.0,1.0,Mary Jane Watson,14.927,557
205,J.K. Simmons,18999.0,2.0,J. Jonah Jameson,13.065,557
206,Millie Bobby Brown,1356210.0,1.0,Madison Russell,13.17,399566
207,Rebecca Hall,15556.0,1.0,Dr. Ilene Andrews,14.92,399566
208,Kyle Chandler,3497.0,2.0,Mark Russell,12.715,399566
209,Zoe Saldana,8691.0,1.0,Neytiri,17.706,19995
210,Sigourney Weaver,10205.0,1.0,Dr. Grace Augustine,11.443,19995
211,Stephen Lang,32747.0,2.0,Colonel Miles Quaritch,17.705,19995
212,Michelle Rodriguez,17647.0,1.0,Trudy Chacon,10.334,19995
213,Robert Downey Jr.,3223.0,2.0,Tony Stark / Iron Man,22.489,299536
214,Chris Hemsworth,74568.0,2.0,Thor Odinson,17.1,299536
215,Chris Evans,16828.0,2.0,Steve Rogers / Captain America,12.794,299536
216,Scarlett Johansson,1245.0,1.0,Natasha Romanoff / Black Widow,35.485,299536
217,Benedict Cumberbatch,71580.0,2.0,Stephen Strange / Doctor Strange,19.006,299536
218,Tom Holland,1136406.0,2.0,Peter Parker / Spider-Man,58.2,299536
219,Zoe Saldana,8691.0,1.0,Gamora,17.706,299536
220,Karen Gillan,543261.0,1.0,Nebula,20.728,299536
221,Elizabeth Olsen,550843.0,1.0,Wanda Maximoff / Scarlet Witch,13.211,299536
222,Anthony Mackie,53650.0,2.0,Sam Wilson / Falcon,12.885,299536
223,Sebastian Stan,60898.0,2.0,James 'Bucky' Barnes / Winter Soldier,15.432,299536
224,Tom Hiddleston,91606.0,2.0,Loki,20.814,299536
225,Idris Elba,17605.0,2.0,Heimdall,18.216,299536
226,Benedict Wong,30082.0,2.0,Wong,23.568,299536
227,Dave Bautista,543530.0,2.0,Drax the Destroyer,14.727,299536
228,Vin Diesel,12835.0,2.0,Groot (voice),25.5,299536
229,Bradley Cooper,51329.0,2.0,Rocket (voice),11.039,299536
230,Josh Brolin,16851.0,2.0,Thanos,10.728,299536
231,Chris Pratt,73457.0,2.0,Peter Quill / Star-Lord,19.635,299536
232,Samuel L. Jackson,2231.0,2.0,Nick Fury (uncredited),22.912,299536
233,Tobey Maguire,2219.0,2.0,Peter Parker / Spider-Man,14.076,559
234,Kirsten Dunst,205.0,1.0,Mary Jane Watson,14.927,559
235,J.K. Simmons,18999.0,2.0,J. Jonah Jameson,13.065,559
