movie_id,title,genre_ids,release_date,movie_popularity,vote_average,vote_count,budget,revenue,rating
35,The Simpsons Movie,"[16, 35, 10751]",2007-07-25,108.478,7.0,6477,75000000,527068851,PG-13
44571,The King of Fighters,"[28, 53, 878]",2010-08-26,107.89,4.8,95,12000000,2000371,NR
75780,Jack Reacher,"[80, 18, 53, 28]",2012-12-20,106.729,6.5,5492,60000000,218340595,PG-13
10358,Zack and Miri Make a Porno,[35],2008-09-18,106.574,6.3,1777,24000000,42105111,R
400155,Hotel Transylvania 3: Summer Vacation,"[10751, 14, 35, 16]",2018-06-28,105.82,6.9,3359,80000000,528600000,PG
50546,Just Go with It,"[35, 10749]",2011-02-10,105.82,6.6,4449,80000000,214945591,PG-13
420818,The Lion King,"[12, 10751, 16]",2019-07-12,105.82,7.2,8062,260000000,1667635327,PG
299537,Captain Marvel,"[28, 12, 878]",2019-03-06,105.798,6.9,12236,152000000,1128276090,PG-13
23168,The Town,"[80, 18, 53]",2010-09-15,104.039,7.2,3795,37000000,154026136,R
534,Terminator Salvation,"[28, 878, 53]",2009-05-20,102.664,6.0,5147,200000000,371353001,PG-13
49529,John Carter,"[28, 12, 878]",2012-03-07,102.445,6.2,4497,250000000,284139100,PG-13
38365,Grown Ups,[35],2010-06-24,101.776,6.3,4679,80000000,271430189,PG-13
324552,John Wick: Chapter 2,"[53, 28, 80]",2017-02-08,101.521,7.3,9680,40000000,171539887,R
565028,Candyman,"[27, 53]",2021-08-25,101.471,6.3,631,25000000,77389310,R
14836,Coraline,"[16, 10751, 14]",2009-02-05,101.085,7.8,5393,60000000,124596398,PG
44943,Battle: Los Angeles,"[878, 28]",2011-03-08,101.032,5.7,2756,70000000,211819354,PG-13
337339,The Fate of the Furious,"[28, 80, 53]",2017-04-12,100.946,6.9,8629,250000000,1238764765,PG-13
260346,Taken 3,"[53, 28]",2014-12-16,100.65,6.2,4671,48000000,325771424,PG-13
577922,Tenet,"[28, 53, 878]",2020-08-22,100.418,7.3,6371,205000000,363129000,PG-13
91314,Transformers: Age of Extinction,"[878, 28, 12]",2014-06-25,100.262,5.9,6422,210000000,1104000000,PG-13
578701,Those Who Wish Me Dead,[53],2021-05-05,99.979,6.9,942,20000000,23384502,R
296096,Me Before You,"[18, 10749]",2016-06-01,99.891,7.9,9556,20000000,207945075,PG-13
70981,Prometheus,"[878, 12, 9648]",2012-05-30,99.863,6.5,9842,130000000,403170142,R
259693,The Conjuring 2,"[27, 53]",2016-05-13,99.476,7.3,6445,40000000,320392818,R
16869,Inglourious Basterds,"[18, 28, 53, 10752]",2009-08-19,98.73,8.2,17816,70000000,321455689,R
5255,The Polar Express,"[16, 10751, 12, 14, 35]",2004-11-10,98.713,6.7,4787,165000000,310634054,G
495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"[28, 80]",2020-02-05,97.919,7.0,8286,75000000,201858461,R
643586,Willy's Wonderland,"[28, 27, 35]",2021-02-12,97.236,6.5,398,5000000,431020,NR
581392,Peninsula,"[28, 27, 53]",2020-07-15,96.74,6.9,1734,17000000,39657073,NR
49530,In Time,"[28, 53, 878]",2011-10-27,96.231,6.9,9104,40000000,173930596,PG-13
72105,Ted,"[35, 14]",2012-06-29,95.832,6.4,10196,50000000,549368315,R
2978,Ghostbusters II,"[35, 14]",1989-06-16,95.753,6.5,3218,37000000,215394738,PG
9806,The Incredibles,"[28, 12, 16, 10751]",2004-10-27,95.506,7.7,14564,92000000,631442092,PG
50620,The Twilight Saga: Breaking Dawn - Part 2,"[12, 14, 18, 10749]",2012-11-13,95.366,6.5,7381,120000000,829000000,PG-13
341174,Fifty Shades Darker,"[18, 10749]",2017-02-08,95.318,6.5,6497,55000000,378827494,R
120,The Lord of the Rings: The Fellowship of the Ring,"[12, 14, 28]",2001-12-18,95.299,8.4,20081,93000000,871368364,PG-13
260513,Incredibles 2,"[28, 12, 16, 10751]",2018-06-14,94.589,7.5,10453,200000000,1242805359,PG
49051,The Hobbit: An Unexpected Journey,"[12, 14, 28]",2012-11-26,94.377,7.3,15397,250000000,1021103568,PG-13
18240,The Proposal,"[35, 10749, 18]",2009-06-01,94.205,7.1,5112,40000000,317375031,PG-13
49519,The Croods,"[16, 12, 10751, 14, 35, 28]",2013-03-15,94.146,6.9,5705,135000000,587204668,PG
1771,Captain America: The First Avenger,"[28, 12, 878]",2011-07-22,93.769,7.0,17708,140000000,370569774,PG-13
10674,Mulan,"[16, 10751, 12]",1998-06-18,93.621,7.9,7678,90000000,304320254,G
18823,Clash of the Titans,"[12, 14, 28]",2010-03-31,93.295,5.8,5080,125000000,493214993,PG-13
294254,Maze Runner: The Scorch Trials,"[878, 28, 53, 12]",2015-09-09,93.256,6.7,8527,61000000,312296056,PG-13
9637,Scooby-Doo,"[9648, 12, 35]",2002-06-14,92.702,6.0,3360,84000000,275650703,PG
51876,Limitless,"[53, 9648, 878]",2011-03-08,92.587,7.2,8640,27000000,161849455,PG-13
10193,Toy Story 3,"[16, 10751, 35]",2010-06-16,92.465,7.8,11949,200000000,1066969703,G
59440,Warrior,"[18, 28]",2011-09-09,92.316,7.8,3455,25000000,23057115,PG-13
11322,Public Enemies,"[80, 36]",2009-07-01,92.087,6.7,3465,100000000,214104620,R
17654,District 9,[878],2009-08-05,91.552,7.4,7507,30000000,210819611,R
404368,Ralph Breaks the Internet,"[10751, 16, 35, 12]",2018-11-20,76.842,7.2,5904,175000000,529221154,PG
285,Pirates of the Caribbean: At World's End,"[12, 14, 28]",2007-05-19,91.411,7.2,11477,300000000,961000000,PG-13
283995,Guardians of the Galaxy Vol. 2,"[12, 28, 878]",2017-04-19,90.732,7.6,17456,200000000,863756051,PG-13
13448,Angels & Demons,"[53, 9648]",2009-05-13,90.658,6.7,5543,150000000,485930816,PG-13
20533,Jonah Hex,"[28, 37, 18, 14, 53]",2010-06-18,90.529,4.9,1105,47000000,10539000,PG-13
58,Pirates of the Caribbean: Dead Man's Chest,"[12, 14, 28]",2006-07-06,89.63,7.3,12814,200000000,1065659812,PG-13
198184,Chappie,"[80, 28, 878]",2015-03-04,89.612,6.8,6589,49000000,104399548,R
620,Ghostbusters,"[35, 14]",1984-06-08,89.59,7.4,6906,30000000,296187079,PG
82690,Wreck-It Ralph,"[10751, 16, 35, 12]",2012-01-01,89.469,7.3,10247,165000000,471222889,PG
48138,Unknown,"[28, 9648, 53]",2011-02-16,89.352,6.6,3056,30000000,130786397,PG-13
12429,Ponyo,"[16, 14, 10751]",2008-07-19,89.098,7.7,3014,41677699,202404009,G
45243,The Hangover Part II,[35],2011-05-25,96.663,6.4,8523,80000000,586764305,R
131631,The Hunger Games: Mockingjay - Part 1,"[878, 12, 53]",2014-11-19,89.094,6.8,13088,125000000,752100229,PG-13
22,Pirates of the Caribbean: The Curse of the Black Pearl,"[12, 14, 28]",2003-07-09,89.058,7.8,16696,140000000,655011224,PG-13
420809,Maleficent: Mistress of Evil,"[10751, 14, 12]",2019-10-16,88.618,7.4,4773,185000000,491570967,PG
512200,Jumanji: The Next Level,"[12, 35, 14]",2019-12-04,88.389,7.0,6443,125000000,800059707,PG-13
602269,The Little Things,"[53, 80, 18]",2021-01-28,88.174,6.4,1336,30000000,29844012,R
343611,Jack Reacher: Never Go Back,[28],2016-10-19,88.107,5.8,3770,60000000,162146076,PG-13
157336,Interstellar,"[12, 18, 878]",2014-11-05,87.612,8.4,27150,165000000,701729206,PG-13
10144,The Little Mermaid,"[16, 10751, 14]",1989-11-17,86.913,7.4,6197,40000000,211343479,G
109418,Grown Ups 2,[35],2013-07-11,86.661,6.1,3237,80000000,247022278,PG-13
396535,Train to Busan,"[28, 27, 53]",2016-07-20,86.598,7.8,5253,8820000,87547518,NR
55846,Blitz,"[80, 28, 53]",2011-05-20,86.552,6.1,1224,15774948,741875,R
121,The Lord of the Rings: The Two Towers,"[12, 14, 28]",2002-12-18,86.311,8.4,17351,79000000,926287400,PG-13
42194,TEKKEN,"[80, 18, 28, 53, 878]",2010-03-20,85.363,5.4,517,30000000,967000,R
533642,Child's Play,[27],2019-06-19,85.324,6.0,1431,10000000,44902237,R
8355,Ice Age: Dawn of the Dinosaurs,"[16, 35, 10751, 12]",2009-06-26,85.231,6.7,6589,90000000,886686817,PG
260514,Cars 3,"[16, 12, 35, 10751]",2017-06-15,85.199,6.9,4248,175000000,383925276,G
9479,The Nightmare Before Christmas,"[14, 16, 10751]",1993-10-09,85.088,7.8,7161,24000000,75634409,PG
27576,Salt,"[28, 9648, 53]",2010-07-21,84.975,6.4,4408,110000000,293329073,PG-13
8966,Twilight,"[14, 18, 10749]",2008-11-20,84.805,6.3,11094,37000000,393616788,PG-13
9487,A Bug's Life,"[12, 16, 35, 10751]",1998-11-25,84.734,7.0,7313,120000000,363258859,G
597,Titanic,"[18, 10749]",1997-11-18,84.198,7.9,20125,200000000,2187463944,PG-13
11699,Bad Lieutenant: Port of Call - New Orleans,"[18, 80]",2009-05-21,83.672,6.1,825,25000000,10589102,R
209112,Batman v Superman: Dawn of Justice,"[28, 12, 14]",2016-03-23,83.379,5.9,15290,250000000,873634919,PG-13
12,Finding Nemo,"[16, 10751]",2003-05-30,83.277,7.8,15700,94000000,940335536,G
9023,Spirit: Stallion of the Cimarron,"[37, 16, 12, 35, 10751, 18]",2002-05-24,83.088,7.7,3625,80000000,122563539,G
11224,Cinderella,"[10751, 14, 16, 10749]",1950-02-22,82.937,7.0,5421,2900000,263591415,G
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","[12, 10751, 14]",2005-12-07,82.783,7.1,8251,180000000,745013115,PG
109439,The Hangover Part III,[35],2013-05-23,82.743,6.2,7068,103000000,362000072,R
10895,Pinocchio,"[16, 10751]",1940-02-23,82.431,7.1,4632,2600000,84300000,G
135397,Jurassic World,"[28, 12, 878, 53]",2015-06-06,82.324,6.7,17407,150000000,1671713208,PG-13
644083,Twist,"[80, 18, 28]",2021-01-22,82.02,6.1,125,2000000,510466,R
28510,Universal Soldier: Regeneration,"[12, 28, 878, 53]",2009-10-01,81.844,5.6,322,14000000,875386,R
87101,Terminator Genisys,"[878, 28, 53, 12]",2015-06-23,81.747,5.9,6946,155000000,440603537,PG-13
