adult,backdrop_path,genre_ids,movie_id,original_language,original_title,overview,popular,poster_path,upcoming,title,video,vote_average,vote_count
False,,"[28, 53]",683311,en,Castle Falls,"Rival gangs seek out millions of dollars hidden inside a luxury condominium that's scheduled to be demolished, but first they have to deal with the janitor who found the loot first.",9.665,/w5UlXXlDOCqVCqGV95coNfUntmz.jpg,2021-12-03,Castle Falls,False,0.0,0
False,/nJiQjs1hrDgLi7vxgNYIWdswb4U.jpg,"[10770, 35, 10749]",874166,en,Christmas at Castle Hart,"Brooke Bennett goes to Ireland for Christmas to search for her Irish roots. While there, she meets Aiden Hart, Earl of Glaslough. Mistaken for an elite event planner, she’s hired to host his castle’s epic Christmas party.",9.589,/4eEtTYYgXjcBa76jRZQAe3xfbuo.jpg,2021-11-27,Christmas at Castle Hart,False,0.0,0
False,/r4VQbiydjDH7ULo1HWjkkrNt3da.jpg,"[18, 10749, 80]",511809,en,West Side Story,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",9.133,/myAX5qoD6YVLNGiWpk2wcU66Vfq.jpg,2021-12-08,West Side Story,False,0.0,0
False,/oKL8y3MoXtsEMVo2MlPiUaAHWJz.jpg,"[12, 35, 28]",604563,fr,OSS 117 : Alerte rouge en Afrique noire,The third entry in secret agent OSS 117's parodic spy adventures.,9.073,/6J0F1q9cJstqHbtaoS9nTQ4oCbx.jpg,2021-08-04,OSS 117: From Africa with Love,False,5.8,250
False,/pRP7eMeM2cx5TIavbzRVSH1NgkR.jpg,"[18, 28, 80, 53]",583794,fa,متری شش و نیم,"The police are after a drug lord named Naser Khakzad, but when they finally manage to catch him, he tries whatever he can think of to escape and save his family.",9.006,/igIXukVPWYpT0lCCcSz92uMvXLZ.jpg,2019-03-17,Just 6.5,False,7.8,79
False,,[18],823425,en,National Champions,"A star quarterback ignites a players’ strike hours before the biggest game of the year in order to fight for fair compensation, equality, and respect for the athletes who put their bodies and health on the line for their schools.",8.954,/6YhSB00YPXtwDpVgQsX6FCe9F6J.jpg,2021-12-10,National Champions,False,0.0,0
False,/2P7pGVJ5dGixxdmUyUvQBdkJNKR.jpg,"[28, 53]",779057,en,The Survivalist,"A year and a half after the fall of civilization from a virus outbreak, a former FBI agent is forced to protect a young woman, who is immune to the disease, from a dangerous gang hunting her led by a psychopath who believes he’s going to use her to save the world.",8.911,/x7XhPGGtT8eIJnBuWoiB2TxjE9D.jpg,2021-12-02,The Survivalist,False,0.0,0
False,/xlNSa2IvP1CAvcAjdalxn1Ylpdk.jpg,"[36, 18]",686548,en,Son of the South,"Based on a true story, Bob Zellner, grandson of a Klansman, comes of age in the Deep South and eventually joins the Civil Rights Movement.",8.775,/3LExC6FEHKkHdeb7z3W0ncU2CKY.jpg,2021-02-05,Son of the South,False,7.1,46
False,/wSCygJhMGT7cErw2MpbQ6ACohTl.jpg,[18],728142,en,Nowhere Special,"John, a 35-year-old window cleaner, has dedicated his life to bringing up his 4-year-old son, Michael, after the child's mother left them soon after giving birth. When John is given only a few months left to live, he attempts to find a new, perfect family for Michael, determined to shield him from the terrible reality of the situation.",8.742,/84Fft28dlLSpAHCLKWaGW3V2SHg.jpg,2021-07-16,Nowhere Special,False,7.4,17
False,/o7IAngTmIqEVnpurPaqpo9Vj3uX.jpg,"[28, 53]",718949,en,Deadlock,"Mack is a former soldier who, after the war, moved to a town with a nuclear power plant, where nearly everybody works. Life is peaceful for him there, until a gang of mercenaries led by Ron storm the reactor and take everybody hostage, including a group of children on a school trip. Now Mack is in a race against the clock and must use his military training to defeat Ron before he puts the reactor into meltdown. Along the way he discovers Ron’s motive, which unravels a greater secret Mack’s town is hiding.",8.499,/icTNXnpK79VLYwcNV8hmZi8nBRz.jpg,2021-12-03,Deadlock,False,0.0,0
