movie_id,title,release_date,movie_popularity,vote_average,vote_count,budget,revenue,rating,studios,genres
12599,Pokémon: The Movie 2000,1999-07-17,21.002,6.6,632,30000000,163649270,G,"['Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other']","['Adventure', 'Fantasy', 'Animation', 'Science Fiction', 'Family']"
9352,EuroTrip,2004-02-20,20.979,6.5,1883,25000000,20796847,NR,"['The Montecito Picture Company', ' Other', ' DreamWorks Pictures']",['Comedy']
853,Enemy at the Gates,2001-03-14,20.971,7.4,2672,68000000,96976270,R,"['Paramount', ' Mandalay Pictures', ' Other', ' Other', ' Other', ' Other', ' Other']","['Drama', 'War', 'History']"
208134,Jackass Presents: Bad Grandpa,2013-10-22,20.947,6.1,1247,15000000,151831537,R,"['Paramount', ' MTV Films', ' Other']",['Comedy']
36691,Solitary Man,2009-09-07,20.947,5.9,219,15000000,5024782,R,"['Other', ' Other', ' Millennium Films']","['Comedy', 'Drama', 'Romance']"
10665,The Strangers,2008-05-29,20.944,6.1,1806,9000000,82391145,R,"['Intrepid Pictures', ' Rogue Pictures', ' Vertigo Entertainment', ' Universal Pictures']","['Thriller', 'Horror', 'Mystery']"
7340,Carrie,1976-11-03,20.942,7.3,2757,1800000,33800000,R,['United Artists'],"['Horror', 'Thriller']"
1656,The Legend of Zorro,2005-10-24,20.94,6.1,2304,75000000,142400065,PG,"['Amblin Entertainment', ' Columbia Pictures']","['Action', 'Adventure', 'Western']"
4982,American Gangster,2007-11-02,20.939,7.6,4106,100000000,266465037,R,"['Other', ' Imagine Entertainment', ' Universal Pictures', ' Scott Free Productions', ' Relativity Media']","['Drama', 'Crime']"
397852,Rendel,2017-09-22,20.936,5.4,162,1686858,1891907,NR,"['Other', ' Other', ' Other', ' Other']","['Fantasy', 'Action', 'Crime']"
10647,Pay It Forward,2000-10-20,20.925,7.3,1367,40000000,55707411,PG-13,"['Other', ' Warner Bros. Pictures', ' Tapestry Films']",['Drama']
152760,The Monuments Men,2014-01-24,20.892,6.0,2951,70000000,154984035,PG-13,"['Studio Babelsberg', ' Columbia Pictures', ' Fox 2000 Pictures', ' Other', ' Other']","['War', 'Drama', 'History', 'Action']"
49730,Red Riding Hood,2011-03-11,20.892,6.0,2669,42000000,89162162,PG-13,"['Appian Way', ' Other', ' Warner Bros. Pictures']","['Fantasy', 'Thriller', 'Horror']"
283552,The Light Between Oceans,2016-09-02,20.879,7.1,1154,20000000,25975621,PG-13,"['DreamWorks Pictures', ' Heyday Films', ' Participant', ' Amblin Entertainment', ' Other', ' Reliance Entertainment', ' Touchstone Pictures']","['Drama', 'Romance']"
65086,The Woman in Black,2012-02-03,20.879,6.1,2888,17000000,127730736,PG-13,"['Exclusive Media', ' Other', ' Other', ' Alliance Films', ' Other', ' Cross Creek Pictures', ' Other', ' Film i Väst']","['Drama', 'Horror', 'Thriller']"
